titre,nom,date,dimensions,matériau,lieu,image
"Silent Rain, 2003",Silent Rain,2003,8 elements of variable dimensions,Iron,"Installation view at Silent Noise. The Arts Club of Chicago, Chicago, USA 2004. Collection Susan Camilli Foundation, New York, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/45-Silent%20Rain%20CH.JPG
"Sogni in Bianco e Nero?, 2003",Sogni in Bianco e Nero?,2003,215 x 430 x 435 cm,Glass and iron,"Installation view at Fiumi e cenere. Palazzo delle Papesse, Centro Arte Contemporanea, Siena, Italy 2004",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/43-1-7-Sogni.jpg
"Tel Aviv Man I, 2003",Tel Aviv Man I,2003,184 x 94 x 96 cm,Iron,"Installation view at Fiumi e cenere. Palazzo delle Papesse, Centro Arte Contemporanea, Siena, Italy 2004. Private Collection, Lisbon, Portugal",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/44-Tel%20Aviv%20Italia.jpg
"Tattoo I, 2003",Tattoo I,2003,226 x 130 x 95 cm,"Polyester resin, stainless steel and light","Installation view at Silent Noise. Massachusetts University, Amherst, USA 2004. Private Collection Aspen, Colorado, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/46-Tattoo%20I.jpg
"Crystal Rain I, 2003",Crystal Rain I,2003,236 x 120 x 120 cm,"Glass, stainless steel and light","Installation view at Crystal Rain. Galerie Lelong &amp; Co. Paris, France 2003",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/22-Crystal-rain-lelong.jpg
"Freud's Children, 2002",Freud's Children,2002,23 elements of variable dimensions,"Mixed media, water pump and water","Installation view at Mario Mauroner Contemporary Art, Salzburg, Austria 2003",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/48-Freuds%20Children1%20Salzburg.jpg
"Poet's Chair, 2002",Poet's Chair,2002,variable x 80 x 180 cm,"Iron, glass, plastic and light",,https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/44%20POET%60S%20CHAIR.jpg
"Am I?, Who Why?, Life Yes? No?, 2002","Am I?, Who Why?, Life Yes? No?",2002,264 x 160 x 160 cm each,Glass and stainless steel,"Collection Museo Würth La Rioja, Spain",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/49-41-42-43%20c.JPEG
"El Corazón de las Palabras, 2000",El Corazón de las Palabras,2000,304 x 164 x 164 cm,"Glass, mirror, stainless steel and light","Collection Pérez Art Museum Miami, gift of TEGNA Inc.",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/54-El%20corazon%20de%20las%20palabras.jpg
"Lady Macbeth, The Traitor and The Porter, 2000","Lady Macbeth, The Traitor and The Porter",2000,231 x 89 x 90 cm each,"Glass, stainless steel and light","Collection Fundación CAM, Spain and Private Collection, Italy",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/59-12-13-14-cabines.jpg
"Golden Sigh I, II and III, 1999","Golden Sigh I, II and III",1999,300 x 100 x 100 cm each,"Brass, wood, glass and light","Installation view at Chaos-Saliva. Palacio de Velázquez-Museo Nacional Centro de Arte Reina Sofía, Madrid, Spain 2000",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/55-CHAOS-SALIVA.jpg
"Wispern, 1998",Wispern,1998,21 elements of variable dimensions,"Bronze, copper, rope and water","Installation view at Chaos-Saliva. Palacio de Velázquez-Museo Nacional Centro de Arte Reina Sofí­a, Madrid, Spain 2000",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/51-Wispern%20expo%20reina.jpg
"Wonderland II, 1997",Wonderland II,1997,241 x 60 x 10 cm each,"Paraffin, nylon and light, 38 elements","Installation view at Chaos-Saliva. Palacio de Velázquez-Museo Nacional Centro de Arte Reina Sofía, Madrid, Spain 2000",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/58-Wonderland%20II.jpg
null,,,,,"Installation view at Chaos-Saliva. Palacio de Velázquez - Museo Nacional Centro de Arte Reina Sofía, Madrid, Spain 2000",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/60-Expo%20Sofia%201.jpg
"La Neige Rouge, 1991",La Neige Rouge,1991,251 x 355 x 355 cm,Cast iron and neon light,"Installation view at Chaos-Saliva. Palacio de Velázquez - Museo Nacional Centro de Arte Reina Sofía, Madrid, Spain 2000",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/69-LA%20NEIGE%20ROUGE%20F%20Miro.JPG
