titre,description,lieu,image
"Nuria, 2007 &amp; Irma, 2010","Stainless steel, 400 x 400 x 300 / 400 x 290 x 390 cm","Private Collection, Boston, Massachusetts, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/a_Nuria_Irma1.jpg
"Spiegel I and II, 2010"," Painted stainless steel, 377 x 235 x 245 cm each","Collection The Toledo Museum of Art, Toledo, Ohio, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/10-SpiegelTMPhRichard%20Goodbody.jpg
"Even Shetia, 2010","Stone and light, variable dimensions","Towada Art Center, Aomori, Japan. Commissioned by Arts Towada / Fumio Nanjo &amp; Ass. 2010",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/even-shetia3_sadao-hotta.jpg
"Dialogue, 2009"," Polyester resin, stainless steel, light and marble pebbles, 243 x 200 x 155 cm / 230 x 214 x 173 cm","Collection Copperhill Mountain Lodge, Åre, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/19-PH%20by%20JonasKullman.jpg
"We, 2008"," Painted stainless steel, 500 x 360 x 340 cm","Installation view at Transparency. Prague, Czech Republic 2009. Collection Würth Kunsthalle, Germany",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/13-FTT_CF003838.jpg
"Jerusalem, 2006","Bronze, rope, wood and wool, 9 pairs of gongs, 130 cm diameter each","Installation view at Espacio Cultural El Tanque, Tenerife, Canary Islands, Spain 2009",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/Jerusalem%20Tanque.jpg
"White Head, 2008"," Painted stainless steel, 240 x 145 x 200 cm","Collection Crosby Street Hotel, New York, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/26-white-Head.jpg
"Nuria II, 2008"," Alabaster, 172 x 84 x 115 cm",,https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/28-Nuria-II-oscar.jpg
"Where?, 2008"," Bronze and tree, 100 x 75 x 100 cm","Installation view at Mimmo Scognamiglio Artecontemporanea, Milan, Italy 2008",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/23-65-Where.jpg
"Overflow II, 2007"," Stainless steel, 223 x 245 x 255 cm","Installation view at La Riva de Acheronte, Im Dialog IX. Stadtkirche, Darmstadt, Germany 2008. Private Collection, Netherlands",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/27-D-1501_RJ.jpg
